field,cluster,value,cells,within_cluster_fraction
cell_type,16,Malignant,6406,0.9479135839005624
cell_type,16,Monocyte,258,0.03817697543651968
cell_type,16,Pericyte,13,0.0019236460491269607
cell_type,16,T_cell,56,0.008286475288546907
cell_type,2,Endothelial,2,0.001128668171557562
cell_type,2,Glia,23,0.012979683972911963
cell_type,2,Malignant,1675,0.9452595936794582
cell_type,2,Monocyte,2,0.001128668171557562
cell_type,2,Pericyte,25,0.014108352144469526
cell_type,2,T_cell,45,0.025395033860045147
cell_type,3,Endothelial,3,0.0007672634271099745
cell_type,3,Glia,1,0.0002557544757033248
cell_type,3,Malignant,31,0.007928388746803069
cell_type,3,Monocyte,3873,0.990537084398977
cell_type,3,Pericyte,0,0.0
cell_type,3,T_cell,2,0.0005115089514066496
cell_type,4,Endothelial,605,0.525629887054735
cell_type,4,Glia,36,0.03127715030408341
cell_type,4,Malignant,239,0.20764552562988706
cell_type,4,Monocyte,48,0.04170286707211121
cell_type,4,Pericyte,192,0.16681146828844484
cell_type,4,T_cell,31,0.02693310165073849
cell_type,5,Endothelial,2375,0.977366255144033
cell_type,5,Glia,0,0.0
cell_type,5,Malignant,19,0.007818930041152264
cell_type,5,Monocyte,24,0.009876543209876543
cell_type,5,Pericyte,8,0.0032921810699588477
cell_type,5,T_cell,4,0.0016460905349794238
cell_type,6,Endothelial,83,0.027266754270696452
cell_type,6,Glia,36,0.011826544021024968
cell_type,6,Malignant,2539,0.8340998685939554
cell_type,6,Monocyte,49,0.016097240473061762
cell_type,6,Pericyte,331,0.10873850197109067
cell_type,6,T_cell,6,0.0019710906701708277
cell_type,7,Endothelial,0,0.0
cell_type,7,Glia,1,0.0003679175864606328
cell_type,7,Malignant,15,0.005518763796909493
cell_type,7,Monocyte,2694,0.9911699779249448
cell_type,7,Pericyte,0,0.0
cell_type,7,T_cell,8,0.0029433406916850625
cell_type,8,Endothelial,18,0.003357582540570789
cell_type,8,Glia,82,0.015295653795933594
cell_type,8,Malignant,5023,0.9369520611826152
cell_type,8,Monocyte,84,0.01566871852266368
cell_type,8,Pericyte,27,0.005036373810856184
cell_type,8,T_cell,127,0.023689610147360568
cell_type,9,Endothelial,0,0.0
cell_type,9,Glia,1620,0.8990011098779135
cell_type,9,Malignant,138,0.07658157602663707
cell_type,9,Monocyte,32,0.017758046614872364
cell_type,9,Pericyte,7,0.00388457269700333
cell_type,9,T_cell,5,0.002774694783573807
cell_subtype,0,Active monocytes,0,0.0
cell_subtype,0,CD163 monocytes,2,0.001876172607879925
cell_subtype,0,CD4 T cells,0,0.0
cell_subtype,0,CD8 T cells,3,0.0028142589118198874
cell_subtype,0,Cycling G2M phase meningioma cells 1,0,0.0
cell_subtype,0,Cycling G2M phase meningioma cells 2,0,0.0
cell_subtype,0,Cycling S phase meningioma cells,6,0.005628517823639775
cell_subtype,0,ECM remodeling meningioma cells,20,0.01876172607879925
cell_subtype,0,G1 phase meningioma cells,22,0.020637898686679174
cell_subtype,0,Glia,6,0.005628517823639775
cell_subtype,0,Meningioma cells,993,0.9315196998123827
cell_subtype,0,Monocytes,0,0.0
cell_subtype,0,Pericytes,6,0.005628517823639775
cell_subtype,0,SSTR2A meningioma cells,2,0.001876172607879925
cell_subtype,0,Vascular cells,6,0.005628517823639775
cell_subtype,1,Active monocytes,21,0.007002334111370457
cell_subtype,1,CD163 monocytes,0,0.0
cell_subtype,1,CD4 T cells,0,0.0
cell_subtype,1,CD8 T cells,0,0.0
cell_subtype,1,Cycling G2M phase meningioma cells 1,71,0.023674558186062022
cell_subtype,1,Cycling G2M phase meningioma cells 2,57,0.019006335445148383
cell_subtype,1,Cycling S phase meningioma cells,23,0.00766922307435812
cell_subtype,1,ECM remodeling meningioma cells,391,0.13037679226408802
cell_subtype,1,G1 phase meningioma cells,650,0.21673891297099032
cell_subtype,1,Glia,15,0.005001667222407469
cell_subtype,1,Meningioma cells,800,0.26675558519506504
cell_subtype,1,Monocytes,10,0.003334444814938313
cell_subtype,1,Pericytes,41,0.013671223741247083
cell_subtype,1,SSTR2A meningioma cells,912,0.3041013671223741
cell_subtype,1,Vascular cells,8,0.00266755585195065
cell_subtype,10,Active monocytes,1,0.00014936519790888724
cell_subtype,10,CD163 monocytes,73,0.010903659447348767
cell_subtype,10,CD4 T cells,0,0.0
cell_subtype,10,CD8 T cells,2,0.0002987303958177745
cell_subtype,10,Cycling G2M phase meningioma cells 1,3,0.00044809559372666166
cell_subtype,10,Cycling G2M phase meningioma cells 2,85,0.012696041822255415
cell_subtype,10,Cycling S phase meningioma cells,21,0.003136669156086632
cell_subtype,10,ECM remodeling meningioma cells,6139,0.9169529499626587
cell_subtype,10,G1 phase meningioma cells,132,0.019716206123973113
cell_subtype,10,Glia,3,0.00044809559372666166
cell_subtype,10,Meningioma cells,88,0.013144137415982075
cell_subtype,10,Monocytes,2,0.0002987303958177745
cell_subtype,10,Pericytes,13,0.001941747572815534
cell_subtype,10,SSTR2A meningioma cells,131,0.019566840926064227
cell_subtype,10,Vascular cells,2,0.0002987303958177745
cell_subtype,11,Active monocytes,7,0.002369668246445498
cell_subtype,11,CD163 monocytes,120,0.040622884224779957
cell_subtype,11,CD4 T cells,1,0.00033852403520649965
cell_subtype,11,CD8 T cells,1,0.00033852403520649965
cell_subtype,11,Cycling G2M phase meningioma cells 1,8,0.002708192281651997
cell_subtype,11,Cycling G2M phase meningioma cells 2,11,0.003723764387271496
cell_subtype,11,Cycling S phase meningioma cells,16,0.005416384563303994
cell_subtype,11,ECM remodeling meningioma cells,13,0.004400812457684496
cell_subtype,11,G1 phase meningioma cells,4,0.0013540961408259986
cell_subtype,11,Glia,69,0.023358158429248477
cell_subtype,11,Meningioma cells,7,0.002369668246445498
cell_subtype,11,Monocytes,1,0.00033852403520649965
cell_subtype,11,Pericytes,2686,0.9092755585646581
cell_subtype,11,SSTR2A meningioma cells,0,0.0
cell_subtype,11,Vascular cells,10,0.003385240352064997
cell_subtype,12,Active monocytes,88,0.01947333480858597
cell_subtype,12,CD163 monocytes,4,0.0008851515822084533
cell_subtype,12,CD4 T cells,922,0.20402743969904846
cell_subtype,12,CD8 T cells,3393,0.7508298296083205
cell_subtype,12,Cycling G2M phase meningioma cells 1,24,0.005310909493250719
cell_subtype,12,Cycling G2M phase meningioma cells 2,2,0.0004425757911042266
cell_subtype,12,Cycling S phase meningioma cells,8,0.0017703031644169065
cell_subtype,12,ECM remodeling meningioma cells,9,0.00199159105996902
cell_subtype,12,G1 phase meningioma cells,2,0.0004425757911042266
cell_subtype,12,Glia,7,0.001549015268864793
cell_subtype,12,Meningioma cells,17,0.003761894224385926
cell_subtype,12,Monocytes,18,0.00398318211993804
cell_subtype,12,Pericytes,12,0.0026554547466253594
cell_subtype,12,SSTR2A meningioma cells,0,0.0
cell_subtype,12,Vascular cells,13,0.002876742642177473
cell_subtype,13,Active monocytes,82,0.11484593837535013
cell_subtype,13,CD163 monocytes,74,0.10364145658263306
cell_subtype,13,CD4 T cells,7,0.00980392156862745
cell_subtype,13,CD8 T cells,3,0.004201680672268907
cell_subtype,13,Cycling G2M phase meningioma cells 1,5,0.0070028011204481795
cell_subtype,13,Cycling G2M phase meningioma cells 2,0,0.0
cell_subtype,13,Cycling S phase meningioma cells,3,0.004201680672268907
cell_subtype,13,ECM remodeling meningioma cells,0,0.0
cell_subtype,13,G1 phase meningioma cells,2,0.0028011204481792717
cell_subtype,13,Glia,5,0.0070028011204481795
cell_subtype,13,Meningioma cells,66,0.09243697478991597
cell_subtype,13,Monocytes,463,0.6484593837535014
cell_subtype,13,Pericytes,2,0.0028011204481792717
cell_subtype,13,SSTR2A meningioma cells,0,0.0
cell_subtype,13,Vascular cells,2,0.0028011204481792717
cell_subtype,14,Active monocytes,3,0.00034067681126504656
cell_subtype,14,CD163 monocytes,144,0.016352486940722236
cell_subtype,14,CD4 T cells,2,0.0002271178741766977
cell_subtype,14,CD8 T cells,3,0.00034067681126504656
cell_subtype,14,Cycling G2M phase meningioma cells 1,37,0.004201680672268907
cell_subtype,14,Cycling G2M phase meningioma cells 2,5,0.0005677946854417443
cell_subtype,14,Cycling S phase meningioma cells,6,0.0006813536225300931
cell_subtype,14,ECM remodeling meningioma cells,1645,0.18680445151033387
cell_subtype,14,G1 phase meningioma cells,6710,0.7619804678628208
cell_subtype,14,Glia,1,0.00011355893708834885
cell_subtype,14,Meningioma cells,31,0.0035203270497388144
cell_subtype,14,Monocytes,5,0.0005677946854417443
cell_subtype,14,Pericytes,101,0.011469452645923235
cell_subtype,14,SSTR2A meningioma cells,100,0.011355893708834885
cell_subtype,14,Vascular cells,13,0.0014762661821485351
cell_subtype,15,Active monocytes,12,0.005597014925373134
cell_subtype,15,CD163 monocytes,5,0.0023320895522388058
cell_subtype,15,CD4 T cells,1,0.0004664179104477612
cell_subtype,15,CD8 T cells,13,0.006063432835820896
cell_subtype,15,Cycling G2M phase meningioma cells 1,79,0.03684701492537314
cell_subtype,15,Cycling G2M phase meningioma cells 2,317,0.1478544776119403
cell_subtype,15,Cycling S phase meningioma cells,1661,0.7747201492537313
cell_subtype,15,ECM remodeling meningioma cells,5,0.0023320895522388058
cell_subtype,15,G1 phase meningioma cells,16,0.007462686567164179
cell_subtype,15,Glia,6,0.002798507462686567
cell_subtype,15,Meningioma cells,9,0.004197761194029851
cell_subtype,15,Monocytes,15,0.006996268656716418
cell_subtype,15,Pericytes,5,0.0023320895522388058
cell_subtype,15,SSTR2A meningioma cells,0,0.0
cell_subtype,15,Vascular cells,0,0.0
cell_subtype,16,Active monocytes,19,0.0028114826871855577
cell_subtype,16,CD163 monocytes,77,0.011393903521751998
cell_subtype,16,CD4 T cells,16,0.0023675643681562593
cell_subtype,16,CD8 T cells,40,0.005918910920390648
cell_subtype,16,Cycling G2M phase meningioma cells 1,166,0.02456348031962119
cell_subtype,16,Cycling G2M phase meningioma cells 2,2477,0.36652855874519086
cell_subtype,16,Cycling S phase meningioma cells,3687,0.5455756140870079
cell_subtype,16,ECM remodeling meningioma cells,10,0.001479727730097662
cell_subtype,16,G1 phase meningioma cells,3,0.0004439183190292986
cell_subtype,16,Glia,21,0.0031074282332050904
cell_subtype,16,Meningioma cells,63,0.00932228469961527
cell_subtype,16,Monocytes,162,0.023971589227582125
cell_subtype,16,Pericytes,13,0.0019236460491269607
cell_subtype,16,SSTR2A meningioma cells,0,0.0
cell_subtype,16,Vascular cells,4,0.0005918910920390648
cell_subtype,2,Active monocytes,0,0.0
cell_subtype,2,CD163 monocytes,2,0.001128668171557562
cell_subtype,2,CD4 T cells,0,0.0
cell_subtype,2,CD8 T cells,45,0.025395033860045147
cell_subtype,2,Cycling G2M phase meningioma cells 1,17,0.009593679458239277
cell_subtype,2,Cycling G2M phase meningioma cells 2,3,0.001693002257336343
cell_subtype,2,Cycling S phase meningioma cells,6,0.003386004514672686
cell_subtype,2,ECM remodeling meningioma cells,171,0.09650112866817155
cell_subtype,2,G1 phase meningioma cells,1443,0.8143340857787811
cell_subtype,2,Glia,23,0.012979683972911963
cell_subtype,2,Meningioma cells,24,0.013544018058690745
cell_subtype,2,Monocytes,0,0.0
cell_subtype,2,Pericytes,25,0.014108352144469526
cell_subtype,2,SSTR2A meningioma cells,11,0.006207674943566591
cell_subtype,2,Vascular cells,2,0.001128668171557562
cell_subtype,3,Active monocytes,325,0.08312020460358056
cell_subtype,3,CD163 monocytes,3418,0.8741687979539642
cell_subtype,3,CD4 T cells,2,0.0005115089514066496
cell_subtype,3,CD8 T cells,0,0.0
cell_subtype,3,Cycling G2M phase meningioma cells 1,0,0.0
cell_subtype,3,Cycling G2M phase meningioma cells 2,1,0.0002557544757033248
cell_subtype,3,Cycling S phase meningioma cells,10,0.0025575447570332483
cell_subtype,3,ECM remodeling meningioma cells,0,0.0
cell_subtype,3,G1 phase meningioma cells,3,0.0007672634271099745
cell_subtype,3,Glia,1,0.0002557544757033248
cell_subtype,3,Meningioma cells,17,0.004347826086956522
cell_subtype,3,Monocytes,130,0.03324808184143223
cell_subtype,3,Pericytes,0,0.0
cell_subtype,3,SSTR2A meningioma cells,0,0.0
cell_subtype,3,Vascular cells,3,0.0007672634271099745
cell_subtype,4,Active monocytes,17,0.014769765421372719
