input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
CKB,CKB,exact,23675.0,17711.0,True
CKM,CKM,exact,31415.0,1541.0,True
CKMT1A,CKMT1A,exact,24243.0,511.0,True
CKMT2,CKMT2,exact,9140.0,1081.0,True
CLOCK,CLOCK,exact,7579.0,17980.0,True
CLPS,CLPS,exact,10768.0,0.0,False
CMBL,CMBL,exact,8632.0,17294.0,True
CMC1,CMC1,exact,5642.0,22255.0,True
CMPK1,CMPK1,exact,978.0,30072.0,True
CNDP2,CNDP2,exact,29061.0,19719.0,True
COA1,COA1,exact,12224.0,20373.0,True
COA3,COA3,exact,27625.0,27003.0,True
COA5,COA5,exact,4183.0,21494.0,True
COASY,COASY,exact,27608.0,13397.0,True
COMT,COMT,exact,32225.0,32898.0,True
COQ10A,COQ10A,exact,20962.0,6637.0,True
COQ10B,COQ10B,exact,4922.0,19392.0,True
COQ2,COQ2,exact,7793.0,8940.0,True
COQ3,COQ3,exact,11216.0,5491.0,True
COQ4,COQ4,exact,16688.0,19379.0,True
COQ5,COQ5,exact,21646.0,12604.0,True
COQ6,COQ6,exact,23316.0,9370.0,True
COQ7,COQ7,exact,25492.0,10875.0,True
COQ8A,COQ8A,exact,2879.0,6664.0,True
COQ8B,COQ8B,exact,31242.0,9948.0,True
COQ9,COQ9,exact,26026.0,15703.0,True
COX10,COX10,exact,26959.0,6132.0,True
COX11,COX11,exact,27918.0,22884.0,True
COX14,COX14,exact,20745.0,32331.0,True
COX15,COX15,exact,19749.0,10522.0,True
COX16,COX16,exact,23260.0,12996.0,True
COX17,COX17,exact,6373.0,33554.0,True
COX18,COX18,exact,7689.0,5251.0,True
COX19,COX19,exact,11816.0,14641.0,True
COX20,COX20,exact,3067.0,31349.0,True
COX4I1,COX4I1,exact,26449.0,51750.0,True
COX4I2,COX4I2,exact,29482.0,3722.0,True
COX5A,COX5A,exact,24667.0,38936.0,True
COX5B,COX5B,exact,4174.0,49021.0,True
COX6A1,COX6A1,exact,21638.0,48016.0,True
COX6A2,COX6A2,exact,25789.0,35.0,True
COX6B1,COX6B1,exact,31045.0,47586.0,True
COX6B2,COX6B2,exact,31870.0,378.0,True
COX6C,COX6C,exact,15312.0,50206.0,True
COX7A1,COX7A1,exact,31084.0,19834.0,True
COX7A2,COX7A2,exact,11092.0,46694.0,True
COX7A2L,COX7A2L,exact,3600.0,39526.0,True
COX7B,COX7B,exact,13881.0,45465.0,True
COX7C,COX7C,exact,9174.0,51678.0,True
COX8A,COX8A,exact,17906.0,45879.0,True
COX8C,COX8C,exact,23523.0,23.0,True
COXFA4,,unmatched,,,False
CPNE1,CPNE1,exact,29575.0,29014.0,True
CPNE3,CPNE3,exact,15197.0,28649.0,True
CPNE6,CPNE6,exact,22817.0,2.0,False
CPNE7,CPNE7,exact,26553.0,961.0,True
CPOX,CPOX,exact,6218.0,7219.0,True
CPS1,CPS1,exact,5052.0,1549.0,True
CPT1A,CPT1A,exact,18118.0,8561.0,True
CPT1B,CPT1B,exact,32960.0,483.0,True
CPT2,CPT2,exact,1044.0,5037.0,True
CRAT,CRAT,exact,16720.0,9519.0,True
CREBBP,CREBBP,exact,25293.0,17649.0,True
CRLS1,CRLS1,exact,29266.0,15395.0,True
CROT,CROT,exact,12500.0,6717.0,True
